date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:37	163536/163536	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:36%20GMT	https://ronabooking.com/en	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/en.html	(from )
14:25:37	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:25:37%20GMT	https://ronabooking.com/robots.txt		(from )
14:25:37	1407/1407	---M--	200	added ('OK')	image/png	etag:%2257f-59ddaa0936980%22	https://ronabooking.com/favicon-32x32.png	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/favicon-32x32.png	(from https://ronabooking.com/en)
14:25:37	592/592	---M--	200	added ('OK')	image/png	etag:%22250-59ddaa0936980%22	https://ronabooking.com/favicon-16x16.png	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/favicon-16x16.png	(from https://ronabooking.com/en)
14:25:38	192348/192348	---M-Z	200	added ('OK')	text/css	etag:%222ef5c-581c7a0373180-gzip%22	https://ronabooking.com/assets/Plugins/bootstrap-4.3.1-dist/css/bootstrap.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/Plugins/bootstrap-4.3.1-dist/css/bootstrap.css	(from https://ronabooking.com/en)
14:25:38	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/projects/Rona%20Booking/Rona%20Booking/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://ronabooking.com/en)
14:25:38	850/850	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Apr%202021%2012:25:38%20GMT	https://www.google.com/recaptcha/api.js	C:/projects/Rona%20Booking/Rona%20Booking/www.google.com/recaptcha/api.js	(from https://ronabooking.com/en)
14:25:39	36536/36536	---M-Z	200	added ('OK')	text/css	etag:%228eb8-5bdbf246d7cf5-gzip%22	https://ronabooking.com/assets/a0137d7c/themes/smoothness/jquery-ui.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/a0137d7c/themes/smoothness/jquery-ui.css	(from https://ronabooking.com/en)
14:25:39	157024/157024	---M-Z	200	added ('OK')	text/css	etag:%2226560-5bf7b453c0fc0-gzip%22	https://ronabooking.com/assets/CSS/main.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/CSS/main.css	(from https://ronabooking.com/en)
14:25:39	1309/1309	---M-Z	200	added ('OK')	text/css	etag:%2251d-5bf89bc9724c0-gzip%22	https://ronabooking.com/assets/CSS/ronabooking.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/CSS/ronabooking.css	(from https://ronabooking.com/en)
14:25:39	2088/2088	---M-Z	200	added ('OK')	text/css	etag:%22828-5bf89517b1980-gzip%22	https://ronabooking.com/CSS/main_page_where_to_go.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/CSS/main_page_where_to_go.css	(from https://ronabooking.com/en)
14:25:39	930/930	---M-Z	200	added ('OK')	text/css	etag:%223a2-5bf846f64b15b-gzip%22	https://ronabooking.com/assets/6fcce1fa/authchoice.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/6fcce1fa/authchoice.css	(from https://ronabooking.com/en)
14:25:40	287630/287630	---MCZ	200	added ('OK')	application/javascript	etag:%224638e-5bdbf246c63b6-gzip%22	https://ronabooking.com/assets/2cce3590/jquery.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/2cce3590/jquery.js	(from https://ronabooking.com/en)
14:25:40	20934/20934	---M-Z	200	added ('OK')	application/javascript	etag:%2251c6-5bdbf246c4476-gzip%22	https://ronabooking.com/assets/af9609c2/yii.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/af9609c2/yii.js	(from https://ronabooking.com/en)
14:25:40	520714/520714	---MCZ	200	added ('OK')	application/javascript	etag:%227f20a-5bdbf246fbf15-gzip%22	https://ronabooking.com/assets/a0137d7c/jquery-ui.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/a0137d7c/jquery-ui.js	(from https://ronabooking.com/en)
14:25:40	49198/49198	---M-Z	200	added ('OK')	application/javascript	etag:%22c02e-5bf7b04ae004a-gzip%22	https://ronabooking.com/assets/JS/script.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/JS/script.js	(from https://ronabooking.com/en)
14:25:41	6765/6765	---M--	200	added ('OK')	image/svg+xml	etag:%221a6d-58c4beab94700%22	https://ronabooking.com/Images/Icons/rona-logo02.svg	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/Images/Icons/rona-logo02.svg	(from https://ronabooking.com/en)
14:25:41	3795/3795	---M--	200	added ('OK')	image/svg+xml	etag:%22ed3-58e5cb4fa6f00%22	https://ronabooking.com/Images/Icons/rona-logo-mobile.svg	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/Images/Icons/rona-logo-mobile.svg	(from https://ronabooking.com/en)
14:25:41	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:25:41%20GMT	https://ronabooking.com/	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/index.html	(from https://ronabooking.com/en)
14:25:41	27201/27201	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:41%20GMT	https://ronabooking.com/en/site/rent-my-place	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/en/site/rent-my-place.html	(from https://ronabooking.com/en)
14:25:42	163363/163363	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:41%20GMT	https://ronabooking.com/sl	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/sl.html	(from https://ronabooking.com/en)
14:25:42	164706/164706	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:42%20GMT	https://ronabooking.com/hr	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hr.html	(from https://ronabooking.com/en)
14:25:42	163536/163536	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:42%20GMT	https://ronabooking.com/de	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/de.html	(from https://ronabooking.com/en)
14:25:42	209734/209734	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:42%20GMT	https://ronabooking.com/ru	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/ru.html	(from https://ronabooking.com/en)
14:25:43	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:25:42%20GMT	https://ronabooking.com/hu	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/hu	(from https://ronabooking.com/en)
14:25:43	8705/8705	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Apr%202021%2012:25:43%20GMT	https://ronabooking.com/ru/hu	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/ru/hu	(from https://ronabooking.com/en)
14:25:43	928/928	---M--	200	added ('OK')	image/svg+xml	etag:%223a0-58e088db6c000%22	https://ronabooking.com/Images/Icons/LOGO-STAR.svg	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/Images/Icons/LOGO-STAR.svg	(from https://ronabooking.com/en)
14:25:48	107864/107864	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Apr%202021%2012:25:43%20GMT	https://ronabooking.com/en/site/search?SearchForm%5Blocation%5D=%C4%8CERVAR-PORAT&SearchForm%5Bfrom%5D=11.05.2021&SearchForm%5Bto%5D=15.05.2021	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/en/site/searchdf17.html	(from https://ronabooking.com/en)
